Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,158.5,-115.0,180.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,155.18,-121.785,0.0,top
R1,75k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.0875,-115.5,0.0,top
U1,DFN-6L-EP(2x2)_USB_PD_ROHS,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,155.05,-115.15,0.0,top
